01A6258D5055544B302E3120FF172B28

ID,,timestamp,,Packet,VCNL4020,,
name,instance,time_utc,time_local,Number,Ambient Light_counts,Proximity,
VCNL_Example,1,2000-02-05 23:37:24,2000-02-05T15:37:24,1,246,4107,
VCNL_Example,1,2000-02-05 23:37:35,2000-02-05T15:37:35,2,1454,2373,
VCNL_Example,1,2000-02-05 23:37:46,2000-02-05T15:37:46,3,483,3535,
VCNL_Example,1,2000-02-05 23:37:57,2000-02-05T15:37:57,4,586,3391,
VCNL_Example,1,2000-02-05 23:38:8,2000-02-05T15:38:8,5,368,3548,
VCNL_Example,1,2000-02-05 23:38:19,2000-02-05T15:38:19,6,470,3463,
VCNL_Example,1,2000-02-05 23:38:30,2000-02-05T15:38:30,7,565,3474,
VCNL_Example,1,2000-02-05 23:38:41,2000-02-05T15:38:41,8,411,3519,
VCNL_Example,1,2000-02-05 23:38:52,2000-02-05T15:38:52,9,556,3529,
VCNL_Example,1,2000-02-05 23:39:3,2000-02-05T15:39:3,10,403,3502,
VCNL_Example,1,2000-02-05 23:39:14,2000-02-05T15:39:14,11,569,3551,
VCNL_Example,1,2000-02-05 23:39:25,2000-02-05T15:39:25,12,462,3532,
VCNL_Example,1,2000-02-05 23:39:36,2000-02-05T15:39:36,13,384,3531,
VCNL_Example,1,2000-02-05 23:39:47,2000-02-05T15:39:47,14,498,3530,
VCNL_Example,1,2000-02-05 23:39:58,2000-02-05T15:39:58,15,437,3484,
VCNL_Example,1,2000-02-05 23:40:9,2000-02-05T15:40:9,16,359,3531,
VCNL_Example,1,2000-02-05 23:40:20,2000-02-05T15:40:20,17,519,3499,
VCNL_Example,1,2000-02-05 23:40:31,2000-02-05T15:40:31,18,399,3442,
VCNL_Example,1,2000-02-05 23:40:42,2000-02-05T15:40:42,19,472,3445,
VCNL_Example,1,2000-02-05 23:40:53,2000-02-05T15:40:53,20,525,3562,
VCNL_Example,1,2000-02-05 23:41:4,2000-02-05T15:41:4,21,470,3458,
VCNL_Example,1,2000-02-05 23:41:15,2000-02-05T15:41:15,22,518,3511,
VCNL_Example,1,2000-02-05 23:41:26,2000-02-05T15:41:26,23,399,3509,
VCNL_Example,1,2000-02-05 23:41:37,2000-02-05T15:41:37,24,545,3544,
VCNL_Example,1,2000-02-05 23:41:48,2000-02-05T15:41:48,25,341,3486,
VCNL_Example,1,2000-02-05 23:41:59,2000-02-05T15:41:59,26,559,3456,
VCNL_Example,1,2000-02-05 23:42:10,2000-02-05T15:42:10,27,426,3491,
VCNL_Example,1,2000-02-05 23:42:21,2000-02-05T15:42:21,28,590,3520,
VCNL_Example,1,2000-02-05 23:42:32,2000-02-05T15:42:32,29,364,3510,
VCNL_Example,1,2000-02-05 23:42:43,2000-02-05T15:42:43,30,343,3850,
VCNL_Example,1,2000-02-05 23:42:54,2000-02-05T15:42:54,31,396,3863,
VCNL_Example,1,2000-02-05 23:43:5,2000-02-05T15:43:5,32,377,3539,
VCNL_Example,1,2000-02-05 23:43:16,2000-02-05T15:43:16,33,478,3577,
VCNL_Example,1,2000-02-05 23:43:27,2000-02-05T15:43:27,34,585,3504,
VCNL_Example,1,2000-02-05 23:43:38,2000-02-05T15:43:38,35,345,3713,
VCNL_Example,1,2000-02-05 23:43:49,2000-02-05T15:43:49,36,524,3512,
VCNL_Example,1,2000-02-05 23:44:0,2000-02-05T15:44:0,37,462,3527,
VCNL_Example,1,2000-02-05 23:44:11,2000-02-05T15:44:11,38,490,3519,
VCNL_Example,1,2000-02-05 23:44:22,2000-02-05T15:44:22,39,395,3479,
VCNL_Example,1,2000-02-05 23:44:33,2000-02-05T15:44:33,40,409,3462,
VCNL_Example,1,2000-02-05 23:44:44,2000-02-05T15:44:44,41,508,3596,
VCNL_Example,1,2000-02-05 23:44:55,2000-02-05T15:44:55,42,381,3569,
VCNL_Example,1,2000-02-05 23:45:6,2000-02-05T15:45:6,43,428,3548,
VCNL_Example,1,2000-02-05 23:45:17,2000-02-05T15:45:17,44,543,3484,
VCNL_Example,1,2000-02-05 23:45:28,2000-02-05T15:45:28,45,361,3495,
VCNL_Example,1,2000-02-05 23:45:39,2000-02-05T15:45:39,46,429,3532,
VCNL_Example,1,2000-02-05 23:45:50,2000-02-05T15:45:50,47,436,3541,
VCNL_Example,1,2000-02-05 23:46:1,2000-02-05T15:46:1,48,382,3538,
VCNL_Example,1,2000-02-05 23:46:12,2000-02-05T15:46:12,49,468,3599,
VCNL_Example,1,2000-02-05 23:46:23,2000-02-05T15:46:23,50,448,3587,
VCNL_Example,1,2000-02-05 23:46:34,2000-02-05T15:46:34,51,536,3514,
VCNL_Example,1,2000-02-05 23:46:45,2000-02-05T15:46:45,52,407,3514,
VCNL_Example,1,2000-02-05 23:46:56,2000-02-05T15:46:56,53,479,3748,
VCNL_Example,1,2000-02-05 23:47:7,2000-02-05T15:47:7,54,568,3564,
